등급,어휘,품사,日本語品詞,어종,원어,日本の漢字,外来語,의미,定義の日本語訳,日本語訳,tags
2등급,남성,명사,名詞,한자어,男性,男性,,"「1」성(性)의 측면에서 남자를 이르는 말. 특히, 성년(成年)이 된 남자를 이른다.
「2」인도ㆍ유럽 어족에서, 단어를 성에 따라 구별할 때 쓰는 말의 하나.",性（セ）の側面から男性を言う言葉。特に、成人した男性を言う。インド・ヨーロッパ語族で、単語を性によって区別するときに使う言葉の一つ。,男性,等級:2 語種:漢字語 品詞:名詞
2등급,남한,명사,名詞,한자어,南韓,南韓,,남북으로 분단된 대한민국의 휴전선 남쪽 지역을 가리키는 말.,南北に分断された大韓民国の休戦ラインより南の地域を指す言葉。,南韓,等級:2 語種:漢字語 品詞:名詞
2등급,납치하다,동사,動詞,혼종어,拉致하다,,,강제적인 수단으로 억지로 데리고 가다.,強制的な手段で無理やり連れて行く。,拉致する,等級:2 語種:混種語 品詞:動詞
2등급,낫,명사,名詞,고유어,,,,"곡식, 나무, 풀 따위를 베는 데 쓰는 농기구. 시우쇠로 ‘ㄱ’ 자 모양으로 만들어 안쪽으로 날을 내고, 뒤 끝 슴베에 나무 자루를 박아 만든다.",穀物、木、草などを刈るのに使う農具。鋼で「く」の字型に作り内側に刃をつけ、後ろの端の茎に木の柄をつけたもの。,鎌,等級:2 語種:固有語 品詞:名詞
2등급,낭비,명사,名詞,한자어,浪費,浪費,,시간이나 재물 따위를 헛되이 헤프게 씀.,時間や財物などを無駄に浪費すること。,浪費,等級:2 語種:漢字語 品詞:名詞
2등급,낭비되다,동사,動詞,혼종어,浪費되다,,,시간이나 재물 따위가 헛되이 헤프게 쓰이다.,時間や財物などが無駄に浪費される。,浪費される,等級:2 語種:混種語 品詞:動詞
2등급,낭비하다,동사,動詞,혼종어,浪費하다,,,시간이나 재물 따위를 헛되이 헤프게 쓰다.,時間や財物などを無駄に浪費する。,浪費する,等級:2 語種:混種語 品詞:動詞
2등급,내걸다,동사,動詞,고유어,,,,"[1]「1」밖이나 앞쪽에 내다가 걸다.
[1]「2」목숨, 재산, 명예 따위의 희생을 무릅쓰다.
[2]목표, 주제, 조건 따위를 앞세우거나 내세우다.",外や前に出して掛ける。命、財産、名誉などを犠牲にする。目標、主題、条件などを前面に出したり提示したりする。,掲げる,等級:2 語種:固有語 品詞:動詞
2등급,내기하다,동사,動詞,고유어,,,,금품을 거는 등 일정한 약속 아래에서 승부를 다투다. 이긴 사람이 걸어 놓은 물품이나 돈을 차지한다.,金品を賭けるなど、一定の約束の下で勝負を争う。勝った人が賭けられた物品や金銭を得る。,賭けをする,等級:2 語種:固有語 品詞:動詞
2등급,내내,부사,副詞,고유어,,,,처음부터 끝까지 계속해서.,最初から最後までずっと。,最初から最後まで,等級:2 語種:固有語 品詞:副詞
2등급,내딛다,동사,動詞,고유어,,,,"「1」‘내디디다「1」’의 준말.
「2」‘내디디다「2」’의 준말.",「1」‘내디디다「1」’の略語。 「2」‘내디디다「2」’の略語。,踏み出す,等級:2 語種:固有語 品詞:動詞
2등급,내려지다,동사,動詞,고유어,,,,"[1]「1」높은 곳에서 낮은 곳으로 또는 위에서 아래로 옮겨지다.
[1]「2」결정 따위가 정해지다.
[2]「1」명령이나 지시 따위가 계통에 따라 차례대로 전해지다.
[2]「2」훈장이나 칭호 따위가 주어지다.",[1]「1」高い所から低い所へ、または上から下へ移される。 [1]「2」決定などが決められる。 [2]「1」命令や指示などが系統に従って順々に伝えられる。 [2]「2」勲章や称号などが与えられる。,下ろされる,等級:2 語種:固有語 品詞:動詞
2등급,내면,명사,名詞,한자어,內面,内面,,"「1」물건의 안쪽.
「2」밖으로 드러나지 아니하는 사람의 속마음. 사람의 정신적ㆍ심리적 측면을 이른다.",「1」物の内側。 「2」外に現れない人の内面。人の精神的・心理的側面を指す。,内面,等級:2 語種:漢字語 品詞:名詞
2등급,내뱉다,동사,動詞,고유어,,,,"「1」입안에 있던 것을 입 밖으로 뱉어 내보내다.
「2」마음에 내키지 아니하거나 못마땅한 어조로 불쑥 말하다.",「1」口の中にあったものを口の外へ吐き出す。 「2」気に入らない、または不満な口調で不意に言う。,吐き出す,等級:2 語種:固有語 品詞:動詞
2등급,내부,명사,名詞,한자어,內部,内部,,"「1」안쪽의 부분.
「2」어떤 조직에 속하는 범위의 안.",「1」内側の部分。 「2」ある組織に属する範囲の内側。,内部,等級:2 語種:漢字語 品詞:名詞
2등급,내성적,명사,名詞/連体詞,한자어,內省的,内省的,,"[Ⅰ]겉으로 드러내지 아니하고 마음속으로만 생각하는 것.
[Ⅱ]겉으로 드러내지 아니하고 마음속으로만 생각하는.",[Ⅰ]表に現さず、心の中でだけ考えること。 [Ⅱ]表に現さず、心の中でだけ考える。,内省的,等級:2 語種:漢字語 品詞:名詞/連体詞 risk:multi_pos
2등급,내세우다,동사,動詞,고유어,,,,"[1]「1」나와 서게 하다.
[1]「2」대표, 후보 따위의 역할을 하도록 나서게 하다.
[2]어떤 일에 나서게 하거나 앞장서서 행동하게 하다.
[3]「1」주장이나 의견 따위를 내놓고 주장하거나 지지하다.
[3]「2」내놓고 자랑하거나 높이 평가하다.",[1]「1」前に立たせる。 [1]「2」代表、候補などの役割をさせるために前に出させる。 [2]ある事柄に前に出させて、先頭に立って行動させる。 [3]「1」主張や意見などを出して主張したり支持したりする。 [3]「2」前面に出して自慢したり高く評価したりする。,前に出す,等級:2 語種:固有語 品詞:動詞
2등급,내키다,동사,動詞,고유어,,,,하고 싶은 마음이 생기다.,したいという気持ちが生じる。,気が進む,等級:2 語種:固有語 品詞:動詞
2등급,너구리,명사,名詞,고유어,,,,"「1」갯과의 포유류. 여우보다 작고 주둥이가 뾰족하며 꼬리가 뭉툭하다. 낮에는 굴속에서 잠을 자고 밤에 활동하는 야행성이다. 5~6월에 4~5마리의 새끼를 낳고 모피는 방한용으로 쓰인다. 한국, 중국, 일본 등지에 분포한다.
「2」매우 능청스럽고 음흉한 사람을 비유적으로 이르는 말.",「1」イヌ科の哺乳類。キツネより小さく、鼻先が尖り、尾が短い。昼は巣穴で眠り、夜活動する夜行性である。5～6月に4～5匹の子を産み、毛皮は防寒用に使われる。韓国、中国、日本などに分布する。 「2」非常に図々しく陰湿な人を比喩的に言う言葉。,タヌキ,等級:2 語種:固有語 品詞:名詞
2등급,너도나도,부사,副詞,고유어,,,,서로 뒤지거나 빠지지 않으려고 모두.,互いに遅れをとったり抜けたりしないように、皆。,こぞって,等級:2 語種:固有語 品詞:副詞
2등급,너머,명사,名詞,고유어,,,,높이나 경계로 가로막은 사물의 저쪽. 또는 그 공간.,高さや境界で遮られた物の向こう側。またはその空間。,向こう,等級:2 語種:固有語 品詞:名詞
2등급,넓이,명사,名詞,고유어,,,,일정한 평면에 걸쳐 있는 공간이나 범위의 크기.,一定の平面に広がっている空間や範囲の大きさ。,広さ,等級:2 語種:固有語 品詞:名詞
2등급,넘보다,동사,動詞,고유어,,,,"「1」남의 능력 따위를 업신여겨 얕보다.
「2」어떤 것을 욕심내어 마음에 두다.",「1」他人の能力などを侮って見下す。 「2」あるものを欲しがって心に留める。,見下す,等級:2 語種:固有語 品詞:動詞
2등급,넘어서다,동사,動詞,고유어,,,,"[1]「1」높은 부분의 위를 넘어서 지나다.
[1]「2」경계가 되는 일정한 장소를 넘어서 지나다.
[1]「3」일정한 기준이나 한계 따위를 넘어서 벗어나다.
[1]「4」어려운 상황을 넘어서 지나다.
[2]일정한 시간, 시기, 범위 따위를 넘어서 벗어나다.
[3]마음이나 주장 따위가 다른 쪽으로 기울어지다.",[1]「1」高い部分の上を越えて行く。 [1]「2」境界となる一定の場所を越えて行く。 [1]「3」一定の基準や限界などを越えて外れる。 [1]「4」困難な状況を越えて行く。 [2]一定の時間、時期、範囲などを越えて外れる。 [3]心や主張などが他の側に傾く。,超える,等級:2 語種:固有語 品詞:動詞
2등급,년대,의존명사,依存名詞,한자어,年代,年代,,그 단위의 첫 해로부터 다음 단위로 넘어가기 전까지의 기간.,その単位の初年から次の単位に移る前までの期間。,年代,等級:2 語種:漢字語 品詞:依存名詞
2등급,년도,의존명사,依存名詞,한자어,年度,年度,,일정한 기간 단위로서의 그해.,一定の期間単位としてのその年。,年度,等級:2 語種:漢字語 品詞:依存名詞
2등급,노,명사,名詞,한자어,櫓,櫓,,물을 헤쳐 배를 나아가게 하는 기구. 나무나 합성수지로 만드는데 물속에 들어가는 부분은 납작하고 손잡이 부분은 가늘다.,水をかいて船を進ませる道具。木や合成樹脂で作られ、水に入る部分は平たく、持ち手部分は細い。,櫓,等級:2 語種:漢字語 品詞:名詞
2등급,노란불,명사,名詞,고유어,,,,"신호등에서, 빨간불이나 파란불로 바뀌기 전의 예비 신호.",信号機で、赤信号や青信号に変わる前の予備信号。,黄色信号,等級:2 語種:固有語 品詞:名詞
2등급,노루,명사,名詞,고유어,,,,"사슴과의 포유류. 몸은 1~1.2미터, 어깨의 높이는 65~86cm이다. 여름에는 누런 갈색이고 겨울에는 누런 흙색으로 꽁무니에 흰 반점이 나타난다. 수컷은 세 갈래로 돋은 뿔이 있는데 겨울에 빠지고 봄에 새로 나며, 꼬리는 흔적만 남아 있다. 삼림 지대에서 풀이나 열매 따위를 먹고 사는데 4~5월에 1~3마리의 새끼를 낳는다. 한국, 아무르, 중국, 유럽 등지에 분포한다.",シカ科の哺乳類。体長1～1.2メートル、肩の高さは65～86cm。夏は黄色っぽい褐色で、冬は黄色い土色になり、お尻に白い斑点が現れる。オスは三つに分かれた角があり、冬に抜け落ちて春に新しく生え、尾は痕跡だけが残る。森林地帯で草や実などを食べ、4～5月に1～3匹の子を産む。韓国、アムール、中国、ヨーロッパなどに分布する。,ノロ,等級:2 語種:固有語 品詞:名詞
2등급,노른자,명사,名詞,고유어,,,,"「1」알의 흰자위에 둘러싸인 동글고 노란 부분.
「2」어떤 사물의 가장 중요한 부분을 비유적으로 이르는 말.",「1」卵の白身に囲まれた丸くて黄色い部分。 「2」ある物の最も重要な部分を比喩的に言う言葉。,卵黄,等級:2 語種:固有語 品詞:名詞
2등급,노리다,동사,動詞,고유어,,,,"「1」눈에 독기를 품고 모질게 쏘아보다.
「2」무엇을 이루려고 모든 마음을 쏟아서 눈여겨보다.
「3」음흉한 목적을 가지고 남의 것을 빼앗으려고 벼르다.",「1」目に毒気を宿して、激しく睨む。 「2」何かを成し遂げようと、全ての心を注いで注意深く見る。 「3」陰湿な目的を持って他人のものを奪おうと機会をうかがう。,狙う,等級:2 語種:固有語 品詞:動詞
2등급,노크,명사,名詞,외래어,knock,,ノック,"「1」방에 들어가기에 앞서 문을 가볍게 두드려서 인기척을 내는 일.
「2」야구에서, 수비 연습을 하기 위해서 공을 치는 일.",「1」部屋に入る前に、ドアを軽く叩いて人の気配を知らせること。 「2」野球で、守備練習をするためにボールを打つこと。,ノック,等級:2 語種:外来語 品詞:名詞
2등급,노트,명사,名詞,외래어,note,,ノート,"「1」글씨를 쓰거나 그림을 그리도록 백지로 매어 놓은 책.
「2」어떤 내용을 기억해 두기 위하여 적음.
「3」악보에서, 음의 장단과 고저를 나타내는 기호.",「1」文字を書いたり絵を描いたりするために白紙で綴じた本。 「2」ある内容を記憶しておくために書き記すこと。 「3」楽譜で、音の長短と高低を示す記号。,ノート,等級:2 語種:外来語 品詞:名詞
2등급,녹,명사,名詞,한자어,綠,緑,,"「1」산화 작용으로 쇠붙이의 표면에 생기는 물질. 색깔은 붉거나 검거나 푸르다.
「2」구리의 표면에 녹이 슬어 생기는 푸른빛의 물질. 독이 있다.",「1」酸化作用で金属の表面に生じる物質。色は赤、黒、または青い。 「2」銅の表面に錆が生じてできる青い色の物質。毒がある。,緑,等級:2 語種:漢字語 品詞:名詞
2등급,논,명사,名詞,고유어,,,,물을 대어 주로 벼를 심어 가꾸는 땅.,水を引いて主に稲を植えて育てる土地。,田んぼ,等級:2 語種:固有語 品詞:名詞
2등급,논두렁,명사,名詞,고유어,,,,물이 괴어 있도록 논의 가장자리를 흙으로 둘러막은 두둑.,水が溜まるように田んぼの縁を土で囲んだ土手。,田んぼのあぜ,等級:2 語種:固有語 品詞:名詞
2등급,논밭,명사,名詞,고유어,,,,논과 밭을 아울러 이르는 말.,田んぼと畑を合わせて呼ぶ言葉。,田畑,等級:2 語種:固有語 品詞:名詞
2등급,놀림,명사,名詞,고유어,,,,남을 흉보거나 비웃는 짓.,他人をからかったり、あざ笑ったりする行為。,からかい,等級:2 語種:固有語 品詞:名詞
2등급,놀부,명사,名詞,고유어,,,,"「1」<흥부전>에 나오는 주인공의 한 사람. 흥부의 형으로 마음씨가 나쁘고 심술궂다.
「2」심술궂고 욕심 많은 사람을 비유적으로 이르는 말.",「1」<フンブ伝>に出てくる主人公の一人。フンブの兄で、性格が悪く意地悪だ。 「2」意地悪で欲張りな人を比喩的に言う言葉。,ノルブ,等級:2 語種:固有語 品詞:名詞
2등급,놀이공원,명사,名詞,혼종어,놀이公園,,,돌아다니며 구경하거나 놀 수 있도록 여러 가지 시설이나 놀이기구를 갖추어 놓은 곳.,歩き回って見物したり遊んだりできるように、様々な施設や遊具を備え付けた場所。,遊園地,等級:2 語種:混種語 品詞:名詞
2등급,놀이방,명사,名詞,혼종어,놀이房,,,개인이 어린이를 보육할 수 있는 시설을 갖추고 보호자의 위탁을 받아 주로 낮 시간에 어린이를 돌보아 주는 곳.,個人が子供を保育できる施設を備え、保護者の委託を受けて主に昼間に子供を預かる場所。,託児所,等級:2 語種:混種語 品詞:名詞
2등급,놀이하다,동사,動詞,고유어,,,,"「1」여러 사람이 모여서 즐겁게 놀다.
「2」굿, 풍물, 인형극 따위의 우리나라 전통적인 연희를 하다.
「3」일정한 규칙 또는 방법에 따라 놀다.",「1」複数の人が集まって楽しく遊ぶ。 「2」굿（巫俗儀礼）、プンムル（農楽）、人形劇などの韓国の伝統的な芸能をする。 「3」一定の規則または方法に従って遊ぶ。,遊ぶ,等級:2 語種:固有語 品詞:動詞
2등급,농민,명사,名詞,한자어,農民,農民,,농사짓는 일을 생업으로 삼는 사람.,農業を職業とする人。,農民,等級:2 語種:漢字語 品詞:名詞
2등급,농사꾼,명사,名詞,혼종어,農事꾼,,,"농사짓는 일꾼이라는 뜻으로, ‘농부01’를 달리 이르는 말.",農作業をする人という意味で、「農夫」を別の言い方で言う言葉。,農作業員,等級:2 語種:混種語 品詞:名詞
2등급,뇌,명사,名詞,한자어,腦,脳,,"중추 신경 계통 가운데 머리뼈안에 있는 부분. 대뇌, 사이뇌, 소뇌, 중간뇌, 다리뇌, 숨뇌로 나뉜다. 근육의 운동을 조절하고 감각을 인식하며, 말하고 기억하며 생각하고 감정을 일으키는 중추가 있다.",中枢神経系の中で頭蓋骨内にある部分。大脳、間脳、小脳、中脳、橋、延髄に分かれる。筋肉の運動を調節し、感覚を認識し、話したり記憶したり考えたり感情を起こしたりする中枢がある。,脳,等級:2 語種:漢字語 品詞:名詞
2등급,누리다,동사,動詞,고유어,,,,생활 속에서 마음껏 즐기거나 맛보다.,生活の中で存分に楽しんだり味わったりする。,満喫する,等級:2 語種:固有語 品詞:動詞
2등급,누명,명사,名詞,한자어,陋名,陋名,,사실이 아닌 일로 이름을 더럽히는 억울한 평판.,事実ではないことで名を汚す、不当な評判。,濡名,等級:2 語種:漢字語 品詞:名詞
2등급,눈길,명사,名詞,고유어,,,,"「1」눈이 가는 곳. 또는 눈으로 보는 방향.
「2」주의나 관심을 비유적으로 이르는 말.",「1」視線が行くところ。または視線で見る方向。 「2」注意や関心を比喩的に言う言葉。,視線,等級:2 語種:固有語 品詞:名詞
2등급,눈밭,명사,名詞,고유어,,,,"「1」눈이 덮인 땅.
「2」높은 산의 마루나 중턱에 눈이 녹지 않고 쌓여 있는 곳.",「1」雪が積もった土地。 「2」高い山の頂上や中腹に雪が溶けずに積もっている場所。,雪原,等級:2 語種:固有語 品詞:名詞
2등급,눈코,명사,名詞,고유어,,,,눈과 코를 아울러 이르는 말.,目と鼻を合わせて呼ぶ言葉。,目鼻,等級:2 語種:固有語 品詞:名詞
2등급,느긋하다,형용사,形容詞,고유어,,,,마음에 흡족하여 여유가 있고 넉넉하다.,心に満足して余裕があり、ゆとりがある。,ゆったりしている,等級:2 語種:固有語 品詞:形容詞
2등급,느끼하다,형용사,形容詞,고유어,,,,"「1」비위에 맞지 아니할 만큼 음식에 기름기가 많다.
「2」기름기 많은 음식을 많이 먹어서 비위에 거슬리는 느낌이 있다.
「3」맛이나 냄새 따위가 비위에 맞지 아니하다.
「4」말이나 행동 따위가 느물거려 비위에 맞지 아니하다.",「1」気に障るほど食べ物に油分が多い。 「2」油分の多い食べ物をたくさん食べて気に障る感じがある。 「3」味や匂いなどが気に障らない。 「4」言葉や行動などがだらだらしていて気に障らない。,油っこい,等級:2 語種:固有語 品詞:形容詞
2등급,느낌표,명사,名詞,혼종어,느낌標,,,"문장 부호의 하나. ‘!’의 이름이다. 감탄문이나 감탄사의 끝에 쓰거나, 어구, 평서문, 명령문, 청유문에 특별히 강한 느낌을 나타낼 때, 물음의 말로 놀람이나 항의의 뜻을 나타낼 때, 감정을 넣어 대답하거나 다른 사람을 부를 때 쓴다.",句読点の一つ。「！」の名前である。感嘆文や感嘆詞の末尾に使ったり、語句、平叙文、命令文、勧誘文に特別な強い感情を表す時、疑問の言葉で驚きや抗議の意味を表す時、感情を込めて答えたり他の人を呼んだりする時に使う。,感嘆符,等級:2 語種:混種語 品詞:名詞
2등급,느릿느릿,부사,副詞,고유어,,,,"「1」동작이 재지 못하고 매우 느린 모양.
「2」짜임새나 꼬임새가 매우 느슨하거나 성긴 모양.",「1」動作が機敏でなく、非常に遅い様子。 「2」編み方や撚り方が非常に緩い様子。,ゆっくりと,等級:2 語種:固有語 品詞:副詞
2등급,능력,명사,名詞,한자어,能力,能力,,"「1」일을 감당해 낼 수 있는 힘.
「2」법률 행위를 행사할 수 있는 자격. 권리 능력, 행위 능력, 책임 능력, 범죄 능력 따위이다.
「3」지성ㆍ감성ㆍ기억 따위의, 정신 현상의 여러 형태.
「4」정신적인 기능이나 신체적 기능의 가능성.",「1」仕事に対応できる力。 「2」法律行為を行使できる資格。権利能力、行為能力、責任能力、犯罪能力など。 「3」知性、感性、記憶などの精神現象の様々な形態。 「4」精神的な機能や身体的な機能の可能性。,能力,等級:2 語種:漢字語 品詞:名詞
2등급,늦어지다,동사,動詞,고유어,,,,늦게 되다.,遅くなる。,遅れる,等級:2 語種:固有語 品詞:動詞
2등급,늦추다,동사,動詞,고유어,,,,"「1」정해진 때보다 지나게 하다. ‘늦다[Ⅰ]’의 사동사.
「2」기준이 되는 때보다 뒤지게 하다. ‘늦다[Ⅱ]「1」’의 사동사.
「3」곡조, 동작 따위의 속도를 느리게 하다. ‘늦다[Ⅱ]「3」’의 사동사.
「4」바싹 하지 아니하고 느슨하게 하다.
「5」긴장을 조금 풀다.",「1」定められた時より遅くする。「遅い」の使役形。 「2」基準となる時より遅くする。「遅い」の使役形。 「3」曲調、動作などの速度を遅くする。「遅い」の使役形。 「4」きつくせず、緩くする。 「5」緊張を少し緩める。,遅らせる,等級:2 語種:固有語 品詞:動詞
2등급,니은,명사,名詞,고유어,,,,한글 자모 ‘ㄴ’의 이름.,ハングルの子音「ㄴ」の名前。,ニウン,等級:2 語種:固有語 品詞:名詞
2등급,다급하다,형용사,形容詞,혼종어,多急하다,,,일이 바싹 닥쳐서 매우 급하다.,物事が間近に迫って非常に急である。,非常に急だ,等級:2 語種:混種語 品詞:形容詞
2등급,다닥다닥,부사,副詞,고유어,,,,"「1」자그마한 것들이 한곳에 많이 붙어 있는 모양.
「2」보기 흉할 정도로 지저분하게 여기저기 기운 모양.",「1」小さなものが一箇所にたくさんくっついている様子。 「2」見苦しいほど汚くあちこち縫った様子。,ばらばら,等級:2 語種:固有語 品詞:副詞
2등급,다루다,동사,動詞,고유어,,,,"[1]「1」일거리를 처리하다.
[1]「2」어떤 물건을 사고파는 일을 하다.
[1]「3」기계나 기구 따위를 사용하다.
[1]「4」가죽 따위를 매만져서 부드럽게 하다.
[2]「1」어떤 물건이나 일거리 따위를 어떤 성격을 가진 대상 혹은 어떤 방법으로 취급하다.
[2]「2」사람이나 짐승 따위를 부리거나 상대하다.
[2]「3」어떤 것을 소재나 대상으로 삼다.",[1]「1」仕事などを処理する。 [1]「2」ある商品を売買する。 [1]「3」機械や道具などを使用する。 [1]「4」革などを手入れして柔らかくする。 [2]「1」ある物や仕事などを、ある性質を持つ対象、あるいはある方法で取り扱う。 [2]「2」人や動物などを手なずけたり、相手にしたりする。 [2]「3」あるものを素材や対象とする。,扱う,等級:2 語種:固有語 品詞:動詞
2등급,다리다,동사,動詞,고유어,,,,옷이나 천 따위의 주름이나 구김을 펴고 줄을 세우기 위하여 다리미나 인두로 문지르다.,服や布などのしわや折り目を伸ばすために、アイロンや火熨斗でこする。,アイロンをかける,等級:2 語種:固有語 品詞:動詞
2등급,다발,명사,名詞,고유어,,,,"「1」꽃이나 푸성귀, 돈 따위의 묶음.
「2」꽃, 푸성귀, 돈 따위의 묶음을 세는 단위.",「1」花や野菜、お金などの束。 「2」花、野菜、お金などの束を数える単位。,束,等級:2 語種:固有語 品詞:名詞
2등급,다섯째,수사,数詞/連体詞/名詞,고유어,,,,"[Ⅰ]순서가 다섯 번째가 되는 차례.
[Ⅱ]순서가 다섯 번째가 되는 차례의.
[Ⅲ]맨 앞에서부터 세어 모두 다섯 개가 됨을 이르는 말.",[Ⅰ]順序が5番目になる順番。 [Ⅱ]順序が5番目になる順番の。 [Ⅲ]前から数えて全部で5つになることを示す言葉。,5番目,等級:2 語種:固有語 品詞:数詞/連体詞/名詞 risk:multi_pos
2등급,다수,명사,名詞,한자어,多數,多数,,수효가 많음.,数が多いこと。,多数,等級:2 語種:漢字語 品詞:名詞
2등급,다운,명사,名詞,외래어,down,,ダウン,"「1」일에 지치거나 좋지 아니한 일 따위를 당하여 감정이나 기력이 저조함. 또는 그런 상태를 속되게 이르는 말.
「2」권투에서, 한 경기자가 상대편의 주먹을 맞고 몸의 복사뼈보다 윗부분이 링의 바닥에 닿거나, 로프에 기대거나, 선 채로 경기 불능의 상태에 빠짐.
「3」야구에서, ‘아웃01「3」’을 이르는 말.
「4」미식축구에서, 심판이 경기를 중지하거나, 공을 든 선수가 ‘다운’이라 외쳐서 경기 중이 아닌 상태.
「5」컴퓨터 시스템에 문제가 생겨서 작동이 일시적으로 중단된 상태.",「1」疲れや不運などにより、感情や気力が低下すること。または、そのような状態を俗に言う言葉。 「2」ボクシングで、一方の選手が相手のパンチを受けて、足首より上の部分がリングの床につくか、ロープにもたれかかるか、立ったまま試合続行不能の状態になること。 「3」野球で、「アウト」を指す言葉。 「4」アメリカンフットボールで、審判がプレーを停止するか、ボールを持った選手が「ダウン」と叫んでプレーが中断された状態。 「5」コンピューターシステムに問題が生じて、一時的に動作が停止した状態。,ダウン,等級:2 語種:外来語 品詞:名詞
2등급,다하다,동사,動詞,고유어,,,,"[1]「1」어떤 것이 끝나거나 남아 있지 아니하다.
[1]「2」어떤 현상이 끝나다.
[2]수명 따위가 끝나다. 또는 생명을 잇지 못하고 끝내다.
[3]「1」어떤 일을 위하여 힘, 마음 따위를 모두 들이다.
[3]「2」어떤 일을 완수하다.",[1]「1」何かが終わるか、残りがなくなる。 [1]「2」ある現象が終わる。 [2]寿命などが尽きる。または、命を終えて終わる。 [3]「1」ある事のために力、心などをすべて注ぎ込む。 [3]「2」ある事をやり遂げる。,尽きる,等級:2 語種:固有語 品詞:動詞
2등급,다행스럽다,형용사,形容詞,혼종어,多幸스럽다,,,뜻밖에 일이 잘되어 운이 좋은 듯하다.,思いがけず物事がうまく進み、運が良いように思われる。,幸いにも,等級:2 語種:混種語 品詞:形容詞
2등급,단,부사,副詞,한자어,但,但し,,"「1」앞의 말을 받아 예외적인 사항이나 조건을 덧붙일 때, 그 말머리에 쓰는 접속 부사.
「2」영수증ㆍ인수증 따위에서, 앞에 적은 금액이나 물품 따위의 명세를 밝힐 때, ‘다른 것이 아니라 바로 그것만의’이라는 뜻을 나타내는 말.",「1」前の言葉を受けて、例外的な事項や条件を付け加えるときに、その言葉の頭に使う接続副詞。 「2」領収書・受取書などで、前に書いた金額や物品などの明細を明らかにする際に、「他のものではなくまさにそれだけ」という意味を表す言葉。,ただし,等級:2 語種:漢字語 品詞:副詞
2등급,단,관형사,連体詞,한자어,單,単,,오직 그것뿐임을 나타내는 말.,ただそれだけであることを示す言葉。,ただ,等級:2 語種:漢字語 品詞:連体詞
2등급,단백질,명사,名詞,한자어,蛋白質,蛋白質,,"아미노산이 펩타이드 결합을 하여 생긴 여러 개의 아미노산으로 이루어진 고분자 화합물. 세포를 구성하고 생체 내 물질대사의 촉매 작용을 하여 생명 현상을 유지하는 물질로서, 사람의 3대 영양소 가운데 하나이다.",アミノ酸がペプチド結合をしてできた複数のアミノ酸からなる高分子化合物。細胞を構成し、生体内物質代謝の触媒作用をして生命現象を維持する物質で、人の三大栄養素の一つである。,タンパク質,等級:2 語種:漢字語 品詞:名詞
2등급,단서,명사,名詞,한자어,端緖,端緒,,"「1」어떤 문제를 해결하는 방향으로 이끌어 가는 일의 첫 부분.
「2」어떤 일의 시초.",「1」ある問題を解決する方向へ導く事柄の最初の部分。 「2」ある事の始まり。,端緒,等級:2 語種:漢字語 品詞:名詞
2등급,단순하다,형용사,形容詞,혼종어,單純하다,,,"「1」복잡하지 않고 간단하다.
「2」외곬으로 순진하고 어수룩하다.",「1」複雑でなく簡単だ。 「2」一途で純粋で世間知らずだ。,単純だ,等級:2 語種:混種語 品詞:形容詞
2등급,단순히,부사,副詞,혼종어,單純히,,,"「1」복잡하지 않고 간단하게.
「2」외곬으로 순진하고 어수룩하게.",「1」複雑でなく簡単に。 「2」一途で純粋で世間知らずに。,単純に,等級:2 語種:混種語 品詞:副詞
2등급,단어,명사,名詞,한자어,單語,単語,,"분리하여 자립적으로 쓸 수 있는 말이나 이에 준하는 말. 또는 그 말의 뒤에 붙어서 문법적 기능을 나타내는 말. “철수가 영희의 일기를 읽은 것 같다.”에서 자립적으로 쓸 수 있는 ‘철수’, ‘영희’, ‘일기’, ‘읽은’, ‘같다’와 조사 ‘가’, ‘의’, ‘를’, 의존 명사 ‘것’ 따위이다.",分離して自立的に使える言葉、またはそれに準ずる言葉。または、その言葉の後について文法的な機能を示す言葉。「チョルスイがヨンヒの日記を読んだようだ」において、自立的に使える「チョルス」、「ヨンヒ」、「日記」、「読んだ」、「ようだ」と助詞の「が」、「の」、「を」、依存名詞の「こと」などである。,単語,等級:2 語種:漢字語 品詞:名詞
2등급,단원,명사,名詞,한자어,單元,単元,,"「1」어떤 주제나 내용을 중심으로 묶은 학습 단위. 내용에 따라 교재 단원, 경험 단원, 문제 단원, 작업 단원 따위로 나눈다.
「2」단일한 근원이나 실체.
「3」라이프니츠의 철학 용어. 넓이나 형체를 가지고 있지 않으며, 무엇으로도 나눌 수 없는 궁극적인 실체이다.",「1」あるテーマや内容を中心にまとめた学習単位。内容により教材単元、経験単元、問題単元、作業単元などに分ける。 「2」単一の根源や実体。 「3」ライプニッツの哲学用語。広さや形を持たず、何にも分けられない究極の実体である。,単元,等級:2 語種:漢字語 品詞:名詞
