순위,단어,품사,품사 이름,품사 (일본어),풀이（意味）,등급,일본어 뜻
3915,다행히,부,부사,副詞,多幸-,B,幸いに
3631,닥치다,동,동사,動詞,다다르다,C,黙る
810,닦다,동,동사,動詞,,A,"拭く, 拭う, 拭き取る"
2001,단,"명, 관","명사, 관형사","名詞, 冠形詞","段, 單",B,"ただ,たった"
471,단계,명,명사,名詞,段階,C,段階
9082,단골,명,명사,名詞,,C,行き着け
4987,단단하다,형,형용사,形容詞,,C,固い・硬い
4782,단독,명,명사,名詞,單獨,C,単独
9084,단맛,명,명사,名詞,,B,"甘み, 甘味"
5470,단순,명,명사,名詞,單純,C,単純
1217,단순하다,형,형용사,形容詞,單純-,B,単純だ
1804,단순히,부,부사,副詞,單純-,B,"単純に, 単に"
2192,단어,명,명사,名詞,單語,A,単語
1659,단위,명,명사,名詞,單位,C,単位
4335,단점,명,명사,名詞,短點,B,"短所, 欠点, 弱み"
1380,단지,"부, 명","부사, 명사","副詞, 名詞","但只, 團地",B,団地
498,단체,명,명사,名詞,團體,B,団体
11684,단추,명,명사,名詞,,C,ボタン
3979,단편,명,명사,名詞,短篇,C,短編
13214,단풍,명,명사,名詞,丹楓,C,紅葉
1959,닫다,동,동사,動詞,,A,"閉める, 閉じる"
4413,닫히다,동,동사,動詞,,B,"閉まる, 閉じる"
620,달,"명, 의","명사, 의존 명사","名詞, 依存名詞",,A,月
2438,달걀,명,명사,名詞,,B,"卵, 鶏卵"
861,달다,"동, 보, 형","동사, 보조 용언, 형용사","動詞, 補助用言, 形容詞","단추를 ~, 무게를 ~, 빌려 다오, 돈을 다오, 맛",A,量る
899,달라지다,동,동사,動詞,,B,変わる
3916,달래다,동,동사,動詞,,C,"慰める, 宥める"
763,달러,"명, 의","명사, 의존 명사","名詞, 依存名詞",dollar,A,"ドル
"
1805,달려가다,동,동사,動詞,,B,"走って行く, 駆ける, 駆付ける, 飛んで行く"
4882,달려들다,동,동사,動詞,,C,"駆付ける, 飛び掛かる・跳び掛かる"
2593,달려오다,동,동사,動詞,,B,"走って来る, 駆ける, 駆け寄る"
5088,달력,명,명사,名詞,-曆,A,"暦, 暦本"
703,달리,부,부사,副詞,,C,"違って, 異なって"
4050,달리기,명,명사,名詞,,C,駆け競べ
867,달리다,동,동사,動詞,"문에 종이 ~, 말을 ~",B,"走る, 駆ける"
4594,달리하다,동,동사,動詞,,C,"違える, 異にする"
6036,달빛,명,명사,名詞,,B,"月光, 月の光, 月影, 月明かり"
2710,달아나다,동,동사,動詞,,B,"逃げる, 逃走する"
2857,닭,명,명사,名詞,,A,鶏
7478,닭고기,명,명사,名詞,,A,鶏肉
2211,닮다,동,동사,動詞,,B,"似る, 似通う"
5739,담,명,명사,名詞,~을 쌓다,C,"塀, 垣, 垣根"
2920,담그다,동,동사,動詞,,B,浸ける
1616,담기다,동,동사,動詞,담다,B,盛られる
609,담다,동,동사,動詞,넣다,B,盛る
2057,담당,명,명사,名詞,擔當,C,担当
4988,담당자,명,명사,名詞,擔當者,C,担当者
2496,담당하다,동,동사,動詞,擔當-,B,担当する
679,담배,명,명사,名詞,,A,煙草
9089,담요,명,명사,名詞,,B,毛布
2858,담임,명,명사,名詞,擔任,B,担任
4191,답,명,명사,名詞,答,C,"答え, 返答, 返事"
2618,답답하다,형,형용사,形容詞,,B,息苦しい
4989,답변,명,명사,名詞,答辯,C,"答弁, 答え"
7738,답장,명,명사,名詞,答狀,B,"返事, 返信, 返札, 返書"
3228,답하다,동,동사,動詞,答-,B,"答える, 返答する, 返事する"
14205,닷새,명,명사,名詞,,B,"五日, 五日間"
3312,당근,명,명사,名詞,,B,人参
3140,당기다,동,동사,動詞,,B,"湧く, 引かれる・惹かれる"
3401,당당하다,형,형용사,形容詞,堂堂-,C,堂々たる
6038,당분간,부,부사,副詞,當分間,C,"当分, 当分の間"
271,당시,명,명사,名詞,當時,C,"当時, その時"
217,당신,대,대명사,代名詞,當身,B,貴方
1311,당연하다,형,형용사,形容詞,當然-,B,"当然だ, 当たり前だ"
2567,당연히,부,부사,副詞,當然-,B,"当然, 当たり前に"
1320,당장,명,명사,名詞,當場,B,"当面, 今すぐ, 即刻"
675,당하다,동,동사,動詞,當-,C,"遣られる, 一杯食う"
2619,당황하다,동,동사,動詞,唐慌-,B,"当惑する, 困惑する, 慌てる, 狼狽える"
1434,닿다,동,동사,動詞,,B,"触れる, 触る, 当たる"
527,대,"의, 명","의존 명사, 명사","依存名詞, 名詞","담배 한 ~, 줄기, 代, 對. 개인 ~ 개인, 臺",B,茎
3229,대가,명,명사,名詞,代價,C,"代価, 代金, 料金"
6770,대강,부,부사,副詞,大綱,C,"大体, 大抵"
1709,대개,"명, 부","명사, 부사","名詞, 副詞",大槪,C,"殆ど, 大体, 大抵, 大概"
,대구,고,고유 명사,固有名詞,大邱,B,鱈
1878,대규모,명,명사,名詞,大規模,C,大規模
2174,대기,명,명사,名詞,大氣,C,大気
2406,대기업,명,명사,名詞,大企業,B,大企業
5337,대기하다,동,동사,動詞,待機-,C,待機する
5092,대낮,명,명사,名詞,,C,"白昼, 真昼, 日中"
724,대다,동,동사,動詞,귀에 ~,C,間に合う
3683,대다수,명,명사,名詞,大多數,C,大多数
2248,대단하다,형,형용사,形容詞,,B,凄い
2249,대단히,부,부사,副詞,,B,"非常に, 極めて, 大変"
1453,대답,명,명사,名詞,對答,A,"答え, 返答, 返事"
1096,대답하다,동,동사,動詞,對答-,A,"答える, 返答する, 返事する"
4051,대도시,명,명사,名詞,大都市,B,大都市
5195,대략,부,부사,副詞,大略,C,大略
2795,대량,명,명사,名詞,大量,C,大量
569,대로,의,의존 명사,依存名詞,,C,通り
2995,대륙,명,명사,名詞,大陸,C,大陸
2333,대문,명,명사,名詞,大門,B,"正門, 表門"
391,대부분,명,명사,名詞,大部分,B,大部分
4990,대비,명,명사,名詞,對備,C,"対比, 比較"
2568,대비하다,동,동사,動詞,對備-,C,"対比する, 比較する"
4193,대사,명,명사,名詞,"大使, 臺詞",C,大使
5883,대사관,명,명사,名詞,大使館,A,大使館
8710,대상자,명,명사,名詞,對象者,C,対象者
655,대신,명,명사,名詞,代身,B,代わり
3032,대신하다,동,동사,動詞,代身-,C,代る
8342,대여섯,관,관형사,冠形詞,,C,五六
2038,대응,명,명사,名詞,對應,C,対応
2407,대응하다,동,동사,動詞,對應-,C,対応する
8043,대입,명,명사,名詞,大入,C,代入
,대전,고,고유 명사,固有名詞,大田,B,大戦
5339,대접,명,명사,名詞,待接,C,"持て成し, 接待"
6387,대접하다,동,동사,動詞,待接-,C,"持て成す, 接待する"
808,대중,명,명사,名詞,大衆,B,大衆
9527,대중교통,명,명사,名詞,大衆交通,B,公共交通
2439,대중문화,명,명사,名詞,大衆文化,B,大衆文化
11691,대중적,명,명사,名詞,大衆的,C,大衆的
744,대책,명,명사,名詞,對策,C,対策
3981,대처하다,동,동사,動詞,對處-,C,対処する
4991,대체,부,부사,副詞,大體,C,一体
1685,대체로,부,부사,副詞,大體-,C,大体
2954,대출,명,명사,名詞,貸出,C,貸（し）出（し）
2824,대충,부,부사,副詞,,C,"大まかに, 大体, 大方, 大凡, 凡そ"
128,대통령,명,명사,名詞,大統領,B,大統領
482,대표,명,명사,名詞,代表,B,代表
1760,대표적,명,명사,名詞,代表的,B,代表的
4415,대표하다,동,동사,動詞,代表-,C,代表する
24,대하다,동,동사,動詞,對-,B,"対する, 向かう"
261,대학,명,명사,名詞,大學,A,大学
4416,대학교,명,명사,名詞,大學校,A,大学
7487,대학교수,명,명사,名詞,大學敎授,B,大学教授
,대학로,고,고유 명사,固有名詞,大學路,C,
1944,대학생,명,명사,名詞,大學生,A,"学生, 大学生"
3268,대학원,명,명사,名詞,大學院,B,大学院
,대한민국,고,고유 명사,固有名詞,大韓民國,B,大韓民国
3183,대합실,명,명사,名詞,待合室,C,待合室
1589,대형,명,명사,名詞,大型,C,大型
699,대화,명,명사,名詞,對話,A,話
8044,대화하다,동,동사,動詞,對話-,B,"対話する, 話す, 会話する, 御喋りする"
485,대회,명,명사,名詞,大會,B,大会
1867,댁,명,명사,名詞,宅,A,お宅
3402,댐,명,명사,名詞,dam,C,ダム
46,더,부,부사,副詞,,A,一層
1473,더구나,부,부사,副詞,,B,"更に, 然も"
7211,더더욱,부,부사,副詞,,C,"より一層, 更に"
9095,더러워지다,동,동사,動詞,,C,汚れる
3269,더럽다,형,형용사,形容詞,,B,"汚い, 汚らしい"
1293,더불다,동,동사,動詞,,C,伴う
273,더욱,부,부사,副詞,,C,"一層, 更に"
4992,더욱더,부,부사,副詞,,C,"より一層, 更に"
2334,더욱이,부,부사,副詞,,C,"更に, その上に"
3230,더위,명,명사,名詞,,B,暑さ
1791,더하다,동,동사,動詞,,B,"足す, 加える"
2955,덕,명,명사,名詞,德,C,徳
2892,덕분,명,명사,名詞,德分,B,御陰・御蔭
,덕수궁,고,고유 명사,固有名詞,德壽宮,B,徳寿宮
621,던지다,동,동사,動詞,,B,投げる
2154,덜,부,부사,副詞,,B,"少なく, 少なめに"
3313,덜다,동,동사,動詞,,C,"分ける, 差し引く, 減らす"
2678,덥다,형,형용사,形容詞,,A,暑い
2110,덧붙이다,동,동사,動詞,,C,"付け加える, 付加する"
3403,덩어리,명,명사,名詞,,C,固まり・塊
2193,덮다,동,동사,動詞,,B,"覆う, 被せる"
5198,덮이다,동,동사,動詞,,C,"覆われる, 掛けられる"
62,데,의,의존 명사,依存名詞,,B,所
5094,데려가다,동,동사,動詞,,B,連れて行く
9529,데려오다,동,동사,動詞,,B,連れて来る
1167,데리다,동,동사,動詞,,B,"連れる, 伴う"
9101,데우다,동,동사,動詞,,C,暖める・温める
5598,데이트,명,명사,名詞,date,C,デート
1198,도,"의, 명","의존 명사, 명사","依存名詞, 名詞","度, 道. ~를 깨치다, 道. 전국 각 ~",C,"道徳, 道理"
2408,도구,명,명사,名詞,道具,B,道具
3270,도달하다,동,동사,動詞,到達-,C,"到達する, 達する, 至る, 着く"
1158,도대체,부,부사,副詞,都大體,C,一体
3861,도덕,명,명사,名詞,道德,C,道徳
4052,도둑,명,명사,名詞,,B,泥棒
1773,도로,"부, 명","부사, 명사","副詞, 名詞",道路,B,道路
5199,도리어,부,부사,副詞,,C,"却って・反って, 反対に"
8045,도마,명,명사,名詞,,C,まな板
6572,도망,명,명사,名詞,逃亡,C,逃亡
6210,도망가다,동,동사,動詞,逃亡-,B,"逃亡する, 逃げて行く"
4195,도망치다,동,동사,動詞,逃亡-,C,"逃亡する, 逃げる"
1732,도서관,명,명사,名詞,圖書館,A,図書館
423,도시,명,명사,名詞,都市,A,都市
3633,도시락,명,명사,名詞,,B,弁当箱
4993,도심,명,명사,名詞,都心,C,都心
2194,도와주다,동,동사,動詞,,A,"助ける, 手伝う, 手助けする"
714,도움,명,명사,名詞,,B,"助け, 助力"
6042,도움말,명,명사,名詞,,C,助言
2195,도입,명,명사,名詞,導入,C,導入
5095,도자기,명,명사,名詞,陶瓷器,B,陶磁器
12423,도장,명,명사,名詞,圖章,C,道場
2548,도저히,부,부사,副詞,到底-,C,到底
4054,도전,명,명사,名詞,挑戰,C,挑戦
2859,도중,명,명사,名詞,途中,B,途中
9103,도착,명,명사,名詞,到着,A,到着
1305,도착하다,동,동사,動詞,到着-,A,"到着する, 着く"
,도쿄(동경),고,고유 명사,固有名詞,東京,B,
16709,독감,명,명사,名詞,毒感,C,インフルエンザ
2175,독립,명,명사,名詞,獨立,C,独立
6775,독립하다,동,동사,動詞,獨立-,C,独立する
4196,독서,명,명사,名詞,讀書,B,読書
,독일,고,고유 명사,固有名詞,獨逸,A,ドイツ・独逸
13235,독일어,명,명사,名詞,獨逸語,B,ドイツ語
5886,독창적,명,명사,名詞,獨創的,C,独創的
1398,독특하다,형,형용사,形容詞,獨特-,C,独特だ
6212,독하다,형,형용사,形容詞,毒-,C,有毒だ
140,돈,명,명사,名詞,,A,"金, お金, 貨幣, 金銭"
1375,돌,명,명사,名詞,~멩이,B,初誕生日
927,돌다,동,동사,動詞,,B,"回る, 回転する"
6776,돌려주다,동,동사,動詞,,B,"返す, 返却する, 返済する"
505,돌리다,동,동사,動詞,팽이를 ~,B,"回す, 回転させる"
5096,돌멩이,명,명사,名詞,,C,"小石, 石塊, 礫"
2956,돌보다,동,동사,動詞,,B,"面倒を見る, 世話をする"
519,돌아가다,동,동사,動詞,,A,"回る, 回転する"
3348,돌아다니다,동,동사,動詞,,C,"巡る, 歩き回る, 出歩く"
2176,돌아보다,동,동사,動詞,,B,"振り返る, 振り向く, 顧みる"
2825,돌아서다,동,동사,動詞,,B,"向き直る, 振り向く"
377,돌아오다,동,동사,動詞,,A,"帰る, 戻る"
1109,돕다,동,동사,動詞,,A,"手伝う, 助ける, 手助けする"
1879,동,"관, 의","관형사, 의존 명사","冠形詞, 依存名詞","同, 棟",C,"東, 東方"
8718,동그라미,명,명사,名詞,,C,丸
9105,동그랗다,형,형용사,形容詞,,C,"真ん丸い, 円らだ, 円らかだ"
2232,동기,명,명사,名詞,"同期, 動機",B,同気
793,동네,명,명사,名詞,洞-,B,村
,동대문,고,고유 명사,固有名詞,東大門,B,東大門
,동대문시장,고,고유 명사,固有名詞,東大門市場,B,東大門市場
1774,동료,명,명사,名詞,同僚,C,同僚
1294,동물,명,명사,名詞,動物,A,動物
12428,동물원,명,명사,名詞,動物園,B,動物園
3862,동부,명,명사,名詞,東部,C,東部
602,동생,명,명사,名詞,,A,"年下の兄弟, 弟, 妹"
5742,동서,명,명사,名詞,東西,C,東西
14242,동서남북,명,명사,名詞,東西南北,C,東西南北
529,동시,명,명사,名詞,同時,B,同時
3920,동아리,명,명사,名詞,,B,
214,동안,명,명사,名詞,시간의 길이,A,間
3111,동양,명,명사,名詞,東洋,B,東洋
15425,동양인,명,명사,名詞,東洋人,C,東洋人
3737,동의,명,명사,名詞,同意,C,同意
4198,동의하다,동,동사,動詞,同意-,C,同意する
2620,동일하다,형,형용사,形容詞,同一-,C,同一だ
1815,동작,명,명사,名詞,動作,C,動作
4503,동전,명,명사,名詞,銅錢,B,銅銭
2569,동쪽,명,명사,名詞,東-,A,東
5341,동창,명,명사,名詞,同窓,B,同窓
3112,동포,명,명사,名詞,同胞,C,同胞
2796,동행,명,명사,名詞,同行,C,同行
2826,동화,명,명사,名詞,童話,B,童画
8050,동화책,명,명사,名詞,童話冊,C,童話
2893,돼지,명,명사,名詞,,A,豚
4418,돼지고기,명,명사,名詞,,A,豚肉
2996,되게,부,부사,副詞,,B,"非常に, 極めて, 大変"
5,되다,동,동사,動詞,어른이 ~,A,なる
4685,되돌리다,동,동사,動詞,,C,"巻き戻す, 折り返す, 返す"
5602,되돌아가다,동,동사,動詞,,C,"帰る, 戻る, 引き返す"
8349,되돌아보다,동,동사,動詞,,C,"顧みる, 振り向く"
5098,되돌아오다,동,동사,動詞,,C,"帰って来る, 戻って来る"
6045,되살리다,동,동사,動詞,,C,"蘇らせる・甦らせる, 生き返らせる"
3231,되찾다,동,동사,動詞,,C,"取り戻す, 取り返す"
5887,되풀이되다,동,동사,動詞,,C,繰り返される
3523,되풀이하다,동,동사,動詞,,C,繰り返す
4994,된장,명,명사,名詞,-醬,B,テンジャン
10482,된장찌개,명,명사,名詞,-醬-,B,テンジャンチゲ
63,두,관,관형사,冠形詞,,A,"二, 二つ"
2827,두껍다,형,형용사,形容詞,,B,厚い
5099,두께,명,명사,名詞,,C,"厚さ, 厚み"
3404,두뇌,명,명사,名詞,頭腦,C,脳
266,두다,"동, 보","동사, 보조 용언","動詞, 補助用言",,B,置く
2860,두드러지다,형,형용사,形容詞,,C,"目立っている, 膨らんでいる"
2894,두드리다,동,동사,動詞,,B,"叩く, 打つ"
3466,두려움,명,명사,名詞,,C,"恐れ, 恐怖"
4419,두려워하다,동,동사,動詞,,C,"恐れる・怖れる・畏れる・懼れる, 怖がる・恐がる, 怯える・脅える"
3034,두렵다,형,형용사,形容詞,,C,"恐ろしい, 恐い"
2077,두르다,동,동사,動詞,,C,"巻く, 掛ける, 付ける"
5342,두리번거리다,동,동사,動詞,,C,きょろきょろする
5603,두부,명,명사,名詞,豆腐,B,豆腐
5473,두세,관,관형사,冠形詞,,B,"二三, 二つ三つ"
4505,두어,관,관형사,冠形詞,,C,二つぐらいの
6394,두통,명,명사,名詞,頭痛,B,頭痛
575,둘,수,수사,数詞,,A,"二, 二つ"
2594,둘러보다,동,동사,動詞,,B,"見回す・見廻す, 見回る"
1850,둘러싸다,동,동사,動詞,,C,"包む, 囲む"
4995,둘러싸이다,동,동사,動詞,,C,"包まれる, 囲まれる"
1660,둘째,"수, 관","수사, 관형사","数詞, 冠形詞",,A,"二番目, 第二番, 二つ目"
2155,둥글다,형,형용사,形容詞,,B,丸い
2497,둥지,명,명사,名詞,,C,巣
87,뒤,명,명사,名詞,,A,"後ろ, 後方"
3271,뒤늦다,형,형용사,形容詞,,C,"遅い, 手遅れだ"
2997,뒤따르다,동,동사,動詞,,C,"従う, 追い掛ける"
3272,뒤지다,동,동사,動詞,가방을 ~,C,遅れる・後れる
2957,뒤집다,동,동사,動詞,,B,"裏返す, 引っ繰り返す, 覆す, 翻す"
5100,뒤쪽,명,명사,名詞,,B,"後ろ, 後方"
6989,뒤편,명,명사,名詞,-便,C,"裏側, 後側, 裏手"
9992,뒷골목,명,명사,名詞,,C,"裏通り, 裏道, 裏街道"
3863,뒷모습,명,명사,名詞,,C,後姿
7497,뒷문,명,명사,名詞,-門,C,"裏口, 裏門, 後門"
6046,뒷산,명,명사,名詞,-山,B,裏山
2078,드디어,부,부사,副詞,,C,結局
1237,드라마,명,명사,名詞,drama,B,"ドラマ
"
598,드러나다,동,동사,動詞,,C,現れる
830,드리다,"동, 보","동사, 보조 용언","動詞, 補助用言","인사를 ~, 도와 ~",A,申し上げる
1960,드물다,형,형용사,形容詞,,C,稀だ
88,듣다,동,동사,動詞,소리를 ~,A,聞く・聴く
2797,들,명,명사,名詞,,B,"野原, 野良, 原"
91,들다,"보, 동","보조 용언, 동사","補助用言, 動詞","따지고 ~, 여관에 ~, 꽃을 ~",A,入る
1733,들려오다,동,동사,動詞,,B,聞こえる
4337,들려주다,동,동사,動詞,,B,聞かせる
1961,들르다,동,동사,動詞,,B,"寄る, 立ち寄る"
866,들리다,동,동사,動詞,소리가 ~,B,聞こえる
158,들어가다,동,동사,動詞,,A,入る
646,들어서다,동,동사,動詞,,B,"入る, 立ち入る"
256,들어오다,동,동사,動詞,,A,入る
9994,들어주다,동,동사,動詞,,C,聞き入れる
5743,들여놓다,동,동사,動詞,,C,"入れて置く, 持ち込む, 運び入れる"
1739,들여다보다,동,동사,動詞,,B,"覗く, 覗き込む, 見入る"
1515,들이다,동,동사,動詞,'들다'의 사동사,C,買い込む
6779,들이마시다,동,동사,動詞,숨을 ~,C,"呷る, 飲み干す・飲み乾す"
5604,들이켜다,동,동사,動詞,,C,"呷る, 飲み干す・飲み乾す"
337,듯,의,의존 명사,依存名詞,,C,様
3685,듯싶다,보,보조 용언,補助用言,,C,と思う
989,듯이,의,의존 명사,依存名詞,,B,ように
347,듯하다,보,보조 용언,補助用言,,C,
18,등,"명, 의","명사, 의존 명사","名詞, 依存名詞","신체의 일부, 等. 1~, 等",B,"背, 背中"
3349,등등,의,의존 명사,依存名詞,等等,C,等等
3273,등록,명,명사,名詞,登錄,B,登録
7221,등록금,명,명사,名詞,登錄金,B,"授業料, 登録金"
4268,등록증,명,명사,名詞,登錄證,C,登録証
9537,등록하다,동,동사,動詞,登錄-,C,登録する
4996,등산,명,명사,名詞,登山,A,登山
8355,등산로,명,명사,名詞,登山路,B,登山路
3035,등장,명,명사,名詞,登場,C,登場
987,등장하다,동,동사,動詞,登場-,C,登場する
3274,디스크,명,명사,名詞,disk,C,"音盤, 光ディスク"
9995,디자이너,명,명사,名詞,designer,B,デザイナー
3036,디자인,명,명사,名詞,design,B,デザイン
26587,따님,명,명사,名詞,,C,お嬢さん
1590,따다,동,동사,動詞,떼다,B,"取る, 摘む, 摘み取る"
1312,따뜻하다,형,형용사,形容詞,,A,暖かい
2468,따라가다,동,동사,動詞,,B,"付いて行く, 従う, 伴う"
5605,따라다니다,동,동사,動詞,,C,"付き纏う, 追う, 追い回す"
268,따라서,부,부사,副詞,,C,従って
3921,따라오다,동,동사,動詞,,B,付いて来る
1313,따로,부,부사,副詞,,B,"別に, 別途に"
9996,따로따로,부,부사,副詞,,C,"別別に, 離れて, 別れて"
51,따르다,동,동사,動詞,"뒤를 ~, 물을 ~",B,"従う, 追い掛ける"
5744,따스하다,형,형용사,形容詞,,C,暖かい
1851,딱,부,부사,副詞,"멎는 모양, 바라진 모양",B,"がっちり,ぽっかり"
4200,딱딱하다,형,형용사,形容詞,굳다,C,固い・硬い
2111,딴,관,관형사,冠形詞,~ 일,B,"別の, 外の"
625,딸,명,명사,名詞,,A,娘
8053,딸기,명,명사,名詞,,A,苺
7500,딸아이,명,명사,名詞,,C,"娘, 女の子"
1399,땀,명,명사,名詞,,B,汗
321,땅,명,명사,名詞,,B,"地, 土地, 地面, 大地"
8054,땅바닥,명,명사,名詞,,C,地べた
4201,땅속,명,명사,名詞,,C,地中
6215,땅콩,명,명사,名詞,,B,落花生
19,때,명,명사,名詞,"시간, 더러운 물질",A,"時, 時刻"
7749,때때로,부,부사,副詞,,B,"時時, 時に, 時折"
1353,때로,부,부사,副詞,,C,"時時, 時に, 時折, 時には"
1686,때리다,동,동사,動詞,,C,"殴る, 打つ, 叩く"
31,때문,의,의존 명사,依存名詞,,A,"為, 所為"
6047,땜,의,의존 명사,依存名詞,때문,B,"為, 所為"
5889,떠나가다,동,동사,動詞,,C,"去る, 行く"
327,떠나다,동,동사,動詞,,A,"去る, 行く"
8727,떠나오다,동,동사,動詞,,C,"去る, 離れる, 出る"
2765,떠들다,동,동사,動詞,말하다,B,騒ぐ
5890,떠들썩하다,형,형용사,形容詞,떠들다,C,"騷がしい, 騒騒しい"
1042,떠오르다,동,동사,動詞,,B,"浮かぶ, 浮く, 浮び上がる, 浮き上がる, 昇る"
1749,떠올리다,동,동사,動詞,,B,"浮かべる, 思い浮かべる, 思い出す"
1443,떡,명,명사,名詞,,A,餅
18402,떡국,명,명사,名詞,,C,雑煮
13255,떡볶이,명,명사,名詞,,B,トッポッキ
1271,떨다,동,동사,動詞,,B,"震える, 戦ぐ"
2570,떨리다,동,동사,動詞,흔들리다,B,震える
2621,떨어뜨리다,동,동사,動詞,,B,落とす
299,떨어지다,동,동사,動詞,,B,落ちる
2798,떼,명,명사,名詞,양 ~,C,群れ
1070,떼다,동,동사,動詞,,B,"離す, 剥がす, 取り外す"
40,또,부,부사,副詞,,A,"再び, もう一度, 改めて"
250,또는,부,부사,副詞,,B,"それとも,または,あるいは	"
2177,또다시,부,부사,副詞,,B,"再び, 再度"
248,또한,부,부사,副詞,,B,同じく
1376,똑같다,형,형용사,形容詞,,A,"同じだ, 等しい"
2622,똑같이,부,부사,副詞,,B,"同じに, 等しく"
3864,똑똑하다,형,형용사,形容詞,,B,明瞭だ
5201,똑바로,부,부사,副詞,,A,"真っ直ぐに, 一直線に"
4338,뚜껑,명,명사,名詞,,B,蓋
3113,뚫다,동,동사,動詞,,C,"開ける, 穿つ, 突き通す"
11721,뚱뚱하다,형,형용사,形容詞,,B,太っている
9541,뛰놀다,동,동사,動詞,,C,"跳ね回る, 跳び回る"
1626,뛰다,동,동사,動詞,"심장이 ~, 빨리 나아가다",A,"走る, 駆ける"
4598,뛰어가다,동,동사,動詞,,C,"走って行く, 駆ける, 駆け寄る, 駆付ける, 飛んで行く"
9998,뛰어나가다,동,동사,動詞,,B,"飛び出す, 飛び出る, 駆け出す"
1661,뛰어나다,형,형용사,形容詞,,C,"優秀だ, 優れている, 秀でている, 長けている"
9114,뛰어나오다,동,동사,動詞,,C,"飛び出す, 飛び出る, 駆け出す"
6399,뛰어내리다,동,동사,動詞,,C,飛び降りる・飛び下りる
3315,뛰어넘다,동,동사,動詞,,C,"飛び越す・跳び越す, 飛び越える・跳び越える, 乗り越える"
9999,뛰어놀다,동,동사,動詞,,C,"跳ね回る, 跳び回る"
7224,뛰어다니다,동,동사,動詞,,B,"走り回る, 駆け回る, 駆けずり回る"
2280,뛰어들다,동,동사,動詞,,B,"駆け込む, 飛び込む"
9542,뛰어오다,동,동사,動詞,,B,"走って来る, 駆ける, 駆け寄る, 駆け付ける, 飛んで来る"
6780,뛰어오르다,동,동사,動詞,,C,"飛び上がる・跳び上がる, 跳ね上がる"
1178,뜨겁다,형,형용사,形容詞,,A,熱い
1389,뜨다,동,동사,動詞,"솟아오르다, 떠나다, 눈을 ~",B,開ける
3634,뜯다,동,동사,動詞,,C,"開ける, 剥がす, 破る, 引き裂く"
6218,뜰,명,명사,名詞,,C,庭
296,뜻,명,명사,名詞,,B,"意思, 考え, 意見, 志"
5891,뜻대로,부,부사,副詞,,C,"思いのままに, 思った通りに"
4420,뜻밖,명,명사,名詞,,C,"案外, 意外"
6219,뜻밖에,부,부사,副詞,,C,"意外に, 予想外に, 思いがけなく"
1816,뜻하다,동,동사,動詞,,C,"思う, 志す"
1792,띄다,동,동사,動詞,눈에 ~,C,"付く, 掛かる, 留まる"
4687,띄우다,동,동사,動詞,배를 ~,C,"送る, 出す, 差し出す"
1571,라디오,명,명사,名詞,radio,A,ラジオ
2623,라면,명,명사,名詞,&일ramen,A,即席ラーメン
5606,라운드,명,명사,名詞,round,C,ラウンド
10002,라이벌,명,명사,名詞,rival,C,ライバル
6781,라이터,명,명사,名詞,lighter,B,ライター
5202,라인,명,명사,名詞,line,C,線
9544,라켓,명,명사,名詞,racket,C,ラケット
,러시아,고,고유 명사,固有名詞,Russia,A,ロシア
,런던,고,고유 명사,固有名詞,London,B,ロンドン
7503,레몬,명,명사,名詞,lemon,B,レモン
5892,레스토랑,명,명사,名詞,&프restaurant,B,レストラン
8731,레이저,명,명사,名詞,laser,C,レーザー　
9115,레저,명,명사,名詞,leisure,C,レジャー
5203,렌즈,명,명사,名詞,lens,B,"レンズ
"
5893,로봇,명,명사,名詞,robot,C,"ロボット
"
9116,로터리,명,명사,名詞,rotary,C,ロータリー　
3525,리,의,의존 명사,依存名詞,里,C,里
3802,리그,명,명사,名詞,league,C,"リーグ
"
2998,리듬,명,명사,名詞,rhythm,B,リズム
9546,리터,의,의존 명사,依存名詞,liter,C,リットル	
2571,마구,부,부사,副詞,,B,"無暗に, 矢鱈に"
3316,마누라,명,명사,名詞,,C,"家内, 女房, 上さん"
1740,마늘,명,명사,名詞,,B,大蒜
1617,마당,"명, 의","명사, 의존 명사","名詞, 依存名詞",,C,庭
3037,마디,명,명사,名詞,,C,節
2799,마땅하다,형,형용사,形容詞,,C,"適当だ, 適切だ, 相応しい"
7756,마라톤,명,명사,名詞,marathon,C,マラソン
1572,마련,"의, 명","의존 명사, 명사","依存名詞, 名詞",,C,用意
2440,마련되다,동,동사,動詞,,B,用意される
833,마련하다,동,동사,動詞,,B,用意する
2441,마루,명,명사,名詞,~를 닦다,B,"縁側, 床"
1649,마르다,동,동사,動詞,,B,乾く
1168,마리,의,의존 명사,依存名詞,,A,"匹, 頭, 羽, 尾"
3740,마무리,명,명사,名詞,,C,仕上げ
8358,마사지,명,명사,名詞,massage,B,マッサージ
365,마시다,동,동사,動詞,,A,"飲む, 吸う, 食らう"
4508,마약,명,명사,名詞,痲藥,C,麻薬
9547,마요네즈,명,명사,名詞,&프mayonnaise,C,マヨネーズ　
480,마을,명,명사,名詞,,B,村
148,마음,명,명사,名詞,,A,"心, 気, 気質"
5608,마음가짐,명,명사,名詞,,C,"心掛け, 心構え"
4789,마음껏,부,부사,副詞,,C,"思う存分, 思いきり"
2921,마음대로,부,부사,副詞,,B,"思う通りに, 気ままに"
