번호,순위,단어,단어번호,품사,품사 이름,품사 (일본어),풀이（意味）,등급
1003,1120,그렇지만,,부,부사,副詞,,A
1004,1122,선배,,명,명사,名詞,先輩,B
1005,1123,업체,,명,명사,名詞,業體,C
1006,1124,키,01,명,명사,名詞,신장,A
1007,1125,구하다,"01, 03",동,동사,動詞,"求-, 救-",B
1008,1126,국회,,명,명사,名詞,國會,C
1009,1127,그러므로,,부,부사,副詞,,B
1010,1128,포함하다,02,동,동사,動詞,包含-,B
1011,1129,걱정,,명,명사,名詞,,A
1012,1130,결혼하다,,동,동사,動詞,結婚-,A
1013,1134,만약,,명,명사,名詞,萬若,B
1014,1135,바르다,"01, 03","동, 형","동사, 형용사","動詞, 形容詞","벽지를 ~, 굽은 데가 없다",B
1015,1136,세월,02,명,명사,名詞,歲月,C
1016,1137,숨,01,명,명사,名詞,,B
1017,1138,행사,"01, 02",명,명사,名詞,"行事, 行使",B
1018,1139,깨닫다,,동,동사,動詞,,C
1019,1140,누나,01,명,명사,名詞,,A
1020,1141,신,"02, 09",명,명사,名詞,"~이 나다, 神",B
1021,1142,왕,04,명,명사,名詞,王,B
1022,1143,점점,01,부,부사,副詞,漸漸,B
1023,1144,질문,,명,명사,名詞,質問,A
1024,1145,특별,,명,명사,名詞,特別,B
1025,1146,판단,,명,명사,名詞,判斷,B
1026,1147,해결하다,,동,동사,動詞,解決-,B
1027,1148,거리,"01, 02, 08","명, 의","명사, 의존 명사","名詞, 依存名詞","길~, 반찬~, 距離",A
1028,1149,계속하다,03,동,동사,動詞,繼續-,B
1029,1150,그치다,,동,동사,動詞,,B
1030,1151,근처,,명,명사,名詞,近處,A
1031,1152,너무나,,부,부사,副詞,,B
1032,1153,높이다,,동,동사,動詞,,B
1033,1154,부정,02,명,명사,名詞,不正,C
1034,1155,사정,07,명,명사,名詞,事情,C
1035,1158,도대체,,부,부사,副詞,都大體,C
1036,1159,막,"01, 02",부,부사,副詞,"바로 지금, 마구",B
1037,1160,부모님,,명,명사,名詞,父母-,A
1038,1161,수출,03,명,명사,名詞,輸出,B
1039,1163,계시다,,"동, 보","동사, 보조 용언","動詞, 補助用言",,A
1040,1166,자르다,01,동,동사,動詞,,B
1041,1167,데리다,,동,동사,動詞,,B
1042,1168,마리,01,의,의존 명사,依存名詞,,A
1043,1169,무척,01,부,부사,副詞,,B
1044,1170,비용,03,명,명사,名詞,費用,B
1045,1171,비행기,,명,명사,名詞,飛行機,A
1046,1172,옳다,01,형,형용사,形容詞,,B
1047,1173,원래,01,명,명사,名詞,元來,B
1048,1174,처리,02,명,명사,名詞,處理,C
1049,1175,최초,,명,명사,名詞,最初,B
1050,1176,꼴,01,명,명사,名詞,모양새,C
1051,1177,놀이,01,명,명사,名詞,,B
1052,1178,뜨겁다,,형,형용사,形容詞,,A
1053,1179,뿌리,,명,명사,名詞,,B
1054,1180,수입,"01, 02",명,명사,名詞,"收入, 輸入",B
1055,1181,초,"03, 07",의,의존 명사,依存名詞,"初, 秒",B
1056,1183,그리하여,,부,부사,副詞,,C
1057,1184,낮,,명,명사,名詞,,A
1058,1186,일찍,,부,부사,副詞,,A
1059,1187,직원,03,명,명사,名詞,職員,B
1060,1188,찍다,02,동,동사,動詞,서류에 도장을 ~,A
1061,1189,가볍다,,형,형용사,形容詞,,A
1062,1190,내부,04,명,명사,名詞,內部,C
1063,1191,다소,01,부,부사,副詞,多少,C
1064,1192,상대,04,명,명사,名詞,相對,B
1065,1193,오전,02,명,명사,名詞,午前,A
1066,1194,피부,02,명,명사,名詞,皮膚,B
1067,1195,가게,,명,명사,名詞,,A
1068,1196,가득,01,부,부사,副詞,~ 차다,B
1069,1197,그저,,부,부사,副詞,,C
1070,1198,도,"05, 10, 11","의, 명","의존 명사, 명사","依存名詞, 名詞","度, 道. ~를 깨치다, 道. 전국 각 ~",C
1071,1199,벽,06,명,명사,名詞,壁,B
1072,1200,장군,04,명,명사,名詞,將軍,B
1073,1201,무역,02,명,명사,名詞,貿易,B
1074,1202,부담,01,명,명사,名詞,負擔,C
1075,1203,약속,,명,명사,名詞,約束,A
1076,1204,인사,"01, 02, 03",명,명사,名詞,"人士, 人事",A
1077,1206,쳐다보다,,동,동사,動詞,,B
1078,1207,충분히,,부,부사,副詞,充分-,B
1079,1209,신체,02,명,명사,名詞,身體,B
1080,1210,에너지,,명,명사,名詞,energy,B
1081,1211,위원,01,명,명사,名詞,委員,C
1082,1212,정리하다,,동,동사,動詞,整理-,B
1083,1213,집안,01,명,명사,名詞,,B
1084,1214,배경,01,명,명사,名詞,背景,B
1085,1215,죽이다,01,동,동사,動詞,굶겨 ~,B
1086,1217,단순하다,,형,형용사,形容詞,單純-,B
1087,1218,반대,03,명,명사,名詞,反對,B
1088,1219,법칙,,명,명사,名詞,法則,C
1089,1221,소금,01,명,명사,名詞,,A
1090,1222,오염,,명,명사,名詞,汚染,C
1091,1224,자전거,,명,명사,名詞,自轉車,A
1092,1225,참여하다,,동,동사,動詞,參與-,C
1093,1226,탓,,명,명사,名詞,,C
1094,1227,푸르다,,형,형용사,形容詞,,B
1095,1228,걔,,불,분석 불능,分析不能,그 아이,B
1096,1230,목,01,명,명사,名詞,,A
1097,1231,발표,01,명,명사,名詞,發表,B
1098,1232,범죄,,명,명사,名詞,犯罪,C
1099,1234,흔들다,,동,동사,動詞,,B
1100,1235,기초,06,명,명사,名詞,基礎,B
1101,1236,논리,,명,명사,名詞,論理,C
1102,1237,드라마,,명,명사,名詞,drama,B
1103,1238,뽑다,,동,동사,動詞,,B
1104,1239,피우다,01,동,동사,動詞,,A
1105,1240,감각,02,명,명사,名詞,感覺,C
1106,1242,미리,01,부,부사,副詞,,B
1107,1243,부족하다,,형,형용사,形容詞,不足-,B
1108,1245,저희,01,대,대명사,代名詞,,B
1109,1246,진행되다,,동,동사,動詞,進行-,B
1110,1249,교통,01,명,명사,名詞,交通,A
1111,1250,기구,"14, 15",명,명사,名詞,"器具, 機構",C
1112,1254,오랜,,관,관형사,冠形詞,,B
1113,1255,젊은이,,명,명사,名詞,,B
1114,1256,후보,04,명,명사,名詞,候補,C
1115,1259,과제,04,명,명사,名詞,課題,B
1116,1260,근거,,명,명사,名詞,根據,C
1117,1261,기록하다,,동,동사,動詞,記錄-,B
1118,1262,다가오다,,동,동사,動詞,,B
1119,1263,불다,01,동,동사,動詞,바람이 ~,A
1120,1264,시각,"03, 04",명,명사,名詞,"時刻, 視角",C
1121,1265,이끌다,,동,동사,動詞,,C
1122,1266,종합,,명,명사,名詞,綜合,B
1123,1267,한글,01,명,명사,名詞,,A
1124,1268,가을,01,명,명사,名詞,,A
1125,1269,개발하다,,동,동사,動詞,開發-,B
1126,1270,내일,,"명, 부","명사, 부사","名詞, 副詞",來日,A
1127,1271,떨다,01,동,동사,動詞,,B
1128,1272,매일,,"부, 명","부사, 명사","副詞, 名詞",每日,A
1129,1273,손가락,,명,명사,名詞,,A
1130,1274,수단,01,명,명사,名詞,手段,C
1131,1278,자유롭다,,형,형용사,形容詞,自由-,B
1132,1279,적극적,,명,명사,名詞,積極的,B
1133,1280,판매,,명,명사,名詞,販賣,B
1134,1281,형성,01,명,명사,名詞,形成,C
1135,1282,기울이다,,동,동사,動詞,,C
1136,1283,길이,01,명,명사,名詞,,B
1137,1284,장면,04,명,명사,名詞,場面,C
1138,1285,점차,02,부,부사,副詞,漸次,B
1139,1286,톤,01,의,의존 명사,依存名詞,ton,B
1140,1288,관련되다,,동,동사,動詞,關聯-,B
1141,1289,급,04,명,명사,名詞,級,A
1142,1290,나머지,,명,명사,名詞,,B
1143,1291,날씨,01,명,명사,名詞,,A
1144,1293,더불다,,동,동사,動詞,,C
1145,1294,동물,,명,명사,名詞,動物,A
1146,1295,의사,"02, 12",명,명사,名詞,"意思, 醫師",A
1147,1296,개방,04,명,명사,名詞,開放,C
1148,1297,건강하다,02,형,형용사,形容詞,健康-,A
1149,1298,미래,02,명,명사,名詞,未來,B
1150,1299,앞서,,부,부사,副詞,,C
1151,1300,여러분,,대,대명사,代名詞,,A
1152,1301,왜냐하면,,부,부사,副詞,,A
1153,1302,인구,01,명,명사,名詞,人口,B
1154,1303,기대하다,,동,동사,動詞,期待-,B
1155,1305,도착하다,01,동,동사,動詞,到着-,A
1156,1306,병,"04, 05",명,명사,名詞,"病, 甁",A
1157,1307,소프트웨어,,명,명사,名詞,software,C
1158,1308,흘리다,,동,동사,動詞,,B
1159,1309,반응,,명,명사,名詞,反應,C
1160,1310,주인공,,명,명사,名詞,主人公,B
1161,1311,당연하다,01,형,형용사,形容詞,當然-,B
1162,1312,따뜻하다,,형,형용사,形容詞,,A
1163,1313,따로,,부,부사,副詞,,B
1164,1314,비판,01,명,명사,名詞,批判,C
1165,1315,빌리다,,동,동사,動詞,,B
1166,1316,세대,02,명,명사,名詞,世代,C
1167,1317,축구,04,명,명사,名詞,蹴球,A
1168,1318,형님,,명,명사,名詞,兄-,B
1169,1319,놓이다,,동,동사,動詞,,B
1170,1320,당장,02,명,명사,名詞,當場,B
1171,1321,무렵,,의,의존 명사,依存名詞,,B
1172,1322,밝다,,"형, 동","형용사, 동사","形容詞, 動詞",,A
1173,1323,사물,10,명,명사,名詞,事物,B
1174,1324,일반적,,명,명사,名詞,一般的,B
1175,1325,장소,05,명,명사,名詞,場所,A
1176,1326,곱다,02,형,형용사,形容詞,아름답다,B
1177,1327,바닥,01,명,명사,名詞,,B
1178,1329,새끼,02,명,명사,名詞,자식~,B
1179,1330,생각되다,,동,동사,動詞,,B
1180,1331,서비스,,명,명사,名詞,service,B
1181,1332,선택하다,,동,동사,動詞,選擇-,B
1182,1333,심다,01,동,동사,動詞,,B
1183,1335,코,01,명,명사,名詞,,A
1184,1336,간단하다,02,형,형용사,形容詞,簡單-,B
1185,1337,고등학교,,명,명사,名詞,高等學校,A
1186,1338,공개,02,명,명사,名詞,公開,C
1187,1339,교실,,명,명사,名詞,敎室,A
1188,1341,견디다,,동,동사,動詞,,B
1189,1342,기사,"02, 10",명,명사,名詞,"技士, 記事",B
1190,1344,막히다,,동,동사,動詞,,B
1191,1345,매체,,명,명사,名詞,媒體,C
1192,1346,별,"01, 02","명, 관","명사, 관형사","名詞, 冠形詞",別,A
1193,1347,복잡하다,,형,형용사,形容詞,複雜-,A
1194,1348,뿌리다,,동,동사,動詞,,B
1195,1349,영역,03,명,명사,名詞,領域,C
1196,1350,체험,,명,명사,名詞,體驗,C
1197,1351,구속,02,명,명사,名詞,拘束,C
1198,1353,때로,,부,부사,副詞,,C
1199,1354,어쩌면,,부,부사,副詞,,B
1200,1355,극복하다,01,동,동사,動詞,克服-,C
1201,1356,불법,"01, 02",명,명사,名詞,"不法, 佛法",C
1202,1357,비밀,,명,명사,名詞,秘密,B
1203,1358,색,03,명,명사,名詞,色,A
1204,1359,쓰이다,"01, 03",동,동사,動詞,"글이 ~, 농사에 기계가 ~",B
1205,1360,일정하다,,형,형용사,形容詞,一定-,C
1206,1361,다지다,,동,동사,動詞,,C
1207,1362,밝혀지다,,동,동사,動詞,,C
1208,1363,아까,,"부, 명","부사, 명사","副詞, 名詞",,B
1209,1364,알맞다,,형,형용사,形容詞,,B
1210,1365,이념,,명,명사,名詞,理念,C
1211,1366,희다,,형,형용사,形容詞,,B
1212,1367,가리키다,01,동,동사,動詞,,B
1213,1368,모시다,,동,동사,動詞,,B
1214,1369,발달,,명,명사,名詞,發達,B
1215,1370,수많다,,형,형용사,形容詞,數-,B
1216,1371,잘못,,"명, 부","명사, 부사","名詞, 副詞",,B
1217,1372,치르다,,동,동사,動詞,,C
1218,1373,평화,02,명,명사,名詞,平和,B
1219,1374,공사,02,명,명사,名詞,工事,B
1220,1375,돌,02,명,명사,名詞,~멩이,B
1221,1376,똑같다,,형,형용사,形容詞,,A
1222,1377,박사,01,명,명사,名詞,博士,B
1223,1378,성,"06, 07, 08",명,명사,名詞,"姓, 性, 城",B
1224,1379,전문가,,명,명사,名詞,專門家,B
1225,1380,단지,"04, 08","부, 명","부사, 명사","副詞, 名詞","但只, 團地",B
1226,1381,말씀하다,,동,동사,動詞,,A
1227,1382,무용,03,명,명사,名詞,舞踊,B
1228,1383,불리다,"04, 07",동,동사,動詞,"'부르다'의 피동사, 물에 ~",B
1229,1384,싸움,,명,명사,名詞,,B
1230,1385,자꾸,01,부,부사,副詞,,B
1231,1386,차리다,,동,동사,動詞,,B
1232,1387,해외,,명,명사,名詞,海外,B
1233,1388,그리,02,부,부사,副詞,그러한 모양,B
1234,1389,뜨다,"01, 03, 05",동,동사,動詞,"솟아오르다, 떠나다, 눈을 ~",B
1235,1390,문화재,,명,명사,名詞,文化財,C
1236,1391,미소,05,명,명사,名詞,微笑,B
1237,1392,보통,,"명, 부","명사, 부사","名詞, 副詞",普通,A
1238,1393,식당,,명,명사,名詞,食堂,A
1239,1394,의미하다,02,동,동사,動詞,意味-,B
1240,1395,이래,03,의,의존 명사,依存名詞,以來,C
1241,1396,체육,,명,명사,名詞,體育,B
1242,1397,구성되다,,동,동사,動詞,構成-,C
1243,1398,독특하다,,형,형용사,形容詞,獨特-,C
1244,1399,땀,01,명,명사,名詞,,B
1245,1400,사례,05,명,명사,名詞,事例,C
1246,1401,소개하다,01,동,동사,動詞,紹介-,A
1247,1402,잘되다,,동,동사,動詞,,B
1248,1403,추진하다,02,동,동사,動詞,推進-,C
1249,1404,칠월,,명,명사,名詞,七月,A
1250,1405,틀,01,명,명사,名詞,,C
1251,1406,평균,,명,명사,名詞,平均,C
1252,1408,훈련,,명,명사,名詞,訓鍊,C
1253,1409,흐름,,명,명사,名詞,,C
1254,1410,십이월,,명,명사,名詞,十二月,A
1255,1411,쌓이다,,동,동사,動詞,,B
1256,1412,이익,02,명,명사,名詞,利益,B
1257,1413,쥐다,01,동,동사,動詞,주먹을 ~,B
1258,1414,컵,,명,명사,名詞,cup,A
1259,1415,게다가,,부,부사,副詞,,B
1260,1416,끓이다,01,동,동사,動詞,,B
1261,1417,논문,,명,명사,名詞,論文,B
1262,1418,멈추다,,동,동사,動詞,,B
1263,1419,사용되다,,동,동사,動詞,使用-,B
1264,1420,오랫동안,,명,명사,名詞,,B
1265,1421,위기,01,명,명사,名詞,危機,C
1266,1422,정당,07,명,명사,名詞,政黨,C
1267,1423,종이,01,명,명사,名詞,,A
1268,1424,찾아가다,,동,동사,動詞,,B
1269,1425,폭력,,명,명사,名詞,暴力,C
1270,1426,혹시,01,부,부사,副詞,或是,C
1271,1427,늘다,01,동,동사,動詞,,B
1272,1428,양,"05, 07, 20, 25","명, 관, 의","명사, 관형사, 의존 명사","名詞, 冠形詞, 依存名詞","羊, 兩, 量, 孃",B
1273,1430,절차,02,명,명사,名詞,節次,C
1274,1431,진짜,,"부, 명","부사, 명사","副詞, 名詞",眞-,B
1275,1433,공기,"06, 07",명,명사,名詞,"空氣, 空器",B
1276,1434,닿다,01,동,동사,動詞,,B
1277,1436,속하다,02,동,동사,動詞,屬-,B
1278,1437,올림픽,,명,명사,名詞,Olympic,B
1279,1438,이외,01,명,명사,名詞,以外,B
1280,1439,재미,01,명,명사,名詞,,A
1281,1440,제공하다,02,동,동사,動詞,提供-,B
1282,1441,증가하다,01,동,동사,動詞,增加-,C
1283,1442,기대,03,명,명사,名詞,期待,B
1284,1443,떡,01,명,명사,名詞,,A
1285,1444,식물,02,명,명사,名詞,植物,B
1286,1445,옛,01,관,관형사,冠形詞,,B
1287,1446,외치다,01,동,동사,動詞,,C
1288,1447,적어도,,부,부사,副詞,,B
1289,1449,편하다,,형,형용사,形容詞,便-,B
1290,1450,평,"02, 03","의, 명","의존 명사, 명사","依存名詞, 名詞","坪, 評",C
1291,1451,권리,,명,명사,名詞,權利,C
1292,1452,끝내다,,동,동사,動詞,,A
1293,1453,대답,,명,명사,名詞,對答,A
1294,1454,시작,01,명,명사,名詞,始作,A
1295,1455,어려움,,명,명사,名詞,,B
1296,1456,일주일,,명,명사,名詞,一週日,A
1297,1457,자원,04,명,명사,名詞,資源,C
1298,1458,춤,01,명,명사,名詞,,A
1299,1459,넘기다,,동,동사,動詞,,C
1300,1461,물체,,명,명사,名詞,物體,C
1301,1462,분명히,,부,부사,副詞,分明-,B
1302,1463,시위,04,명,명사,名詞,示威,C
1303,1464,아무것,,명,명사,名詞,,B
1304,1465,온,01,관,관형사,冠形詞,,B
1305,1466,젖다,01,동,동사,動詞,,B
1306,1467,제외하다,,동,동사,動詞,除外-,C
1307,1468,최대,,명,명사,名詞,最大,B
1308,1469,평소,,명,명사,名詞,平素,B
1309,1470,견해,02,명,명사,名詞,見解,C
1310,1471,깨끗하다,,형,형용사,形容詞,,A
1311,1472,농사,01,명,명사,名詞,農事,B
1312,1473,더구나,01,부,부사,副詞,,B
1313,1474,안정,01,명,명사,名詞,安定,C
1314,1475,어둠,,명,명사,名詞,,B
1315,1476,어둡다,,형,형용사,形容詞,,B
1316,1477,어쨌든,,부,부사,副詞,,C
1317,1478,주택,,명,명사,名詞,住宅,B
1318,1480,고장,"01, 11",명,명사,名詞,"지역, 故障",B
1319,1481,관련하다,,동,동사,動詞,關聯-,B
1320,1482,눈길,01,명,명사,名詞,~을 피하다,C
1321,1483,물어보다,,동,동사,動詞,,A
1322,1484,미안하다,,형,형용사,形容詞,未安-,A
1323,1485,밀다,01,동,동사,動詞,,B
1324,1486,스트레스,,명,명사,名詞,stress,A
1325,1487,음,01,감,감탄사,感嘆詞,,B
1326,1489,주어지다,,동,동사,動詞,,C
1327,1490,고려하다,01,동,동사,動詞,考慮-,B
1328,1491,과일,01,명,명사,名詞,,A
1329,1492,널리,,부,부사,副詞,,C
1330,1493,농촌,,명,명사,名詞,農村,B
1331,1494,올라오다,,동,동사,動詞,,B
1332,1495,챙기다,,동,동사,動詞,,B
1333,1496,고르다,"01, 03","동, 형","동사, 형용사","動詞, 形容詞","뽑다, 차이가 없다",B
1334,1498,벌어지다,"01, 02",동,동사,動詞,"틈이 ~, 싸움이 ~",B
1335,1499,소재,05,명,명사,名詞,素材,C
1336,1500,전망,03,명,명사,名詞,展望,C
1337,1501,포기하다,01,동,동사,動詞,抛棄-,B
1338,1502,형성되다,,동,동사,動詞,形成-,C
1339,1503,고치다,01,동,동사,動詞,,B
1340,1504,그림자,,명,명사,名詞,,B
1341,1506,다하다,,동,동사,動詞,,B
1342,1507,마침내,,부,부사,副詞,,B
1343,1508,비교하다,,동,동사,動詞,比較-,B
1344,1509,시월,01,명,명사,名詞,十月,A
1345,1510,커지다,,동,동사,動詞,,B
1346,1511,한쪽,,명,명사,名詞,,B
1347,1512,검사,"02, 03",명,명사,名詞,"檢事, 檢査",B
1348,1513,결론,02,명,명사,名詞,結論,C
1349,1515,들이다,02,동,동사,動詞,'들다'의 사동사,C
1350,1516,맡기다,,동,동사,動詞,,B
1351,1517,박물관,,명,명사,名詞,博物館,A
1352,1519,소문,02,명,명사,名詞,所聞,B
1353,1520,싣다,01,동,동사,動詞,,B
1354,1521,쌓다,,동,동사,動詞,,B
1355,1522,어서,01,부,부사,副詞,,A
1356,1523,자녀,01,명,명사,名詞,子女,C
1357,1524,제목,02,명,명사,名詞,題目,B
1358,1525,짓,01,명,명사,名詞,,B
1359,1526,판결,,명,명사,名詞,判決,C
1360,1527,팔월,,명,명사,名詞,八月,A
1361,1528,하얗다,,형,형용사,形容詞,,B
1362,1529,희망,,명,명사,名詞,希望,B
1363,1530,가방,01,명,명사,名詞,~을 메다,A
1364,1531,군대,03,명,명사,名詞,軍隊,B
1365,1532,그만큼,,부,부사,副詞,,B
1366,1533,무어,01,대,대명사,代名詞,,B
1367,1534,비로소,,부,부사,副詞,,C
1368,1536,상대방,02,명,명사,名詞,相對方,B
1369,1537,서구,02,명,명사,名詞,西歐,C
1370,1538,소유,03,명,명사,名詞,所有,C
1371,1539,시골,,명,명사,名詞,,B
1372,1540,실수,01,명,명사,名詞,失手,B
1373,1541,잘못되다,,동,동사,動詞,,B
1374,1542,치료,,명,명사,名詞,治療,B
1375,1543,폭,06,명,명사,名詞,幅,B
1376,1544,호,14,의,의존 명사,依存名詞,號,A
1377,1545,내밀다,,동,동사,動詞,,B
1378,1547,부문,06,명,명사,名詞,部門,C
1379,1548,시리즈,,명,명사,名詞,series,B
1380,1549,임신,02,명,명사,名詞,妊娠,B
1381,1550,잡히다,02,동,동사,動詞,'잡다'의 피동사,B
1382,1552,규정,04,명,명사,名詞,規定,C
1383,1553,그램,,의,의존 명사,依存名詞,gram,B
1384,1554,밭,01,명,명사,名詞,,B
1385,1555,분석하다,02,동,동사,動詞,分析-,B
1386,1556,식구,01,명,명사,名詞,食口,B
1387,1557,아예,,부,부사,副詞,,C
1388,1558,어찌,,부,부사,副詞,,C
1389,1559,울리다,"01, 02",동,동사,動詞,"종이 ~, 아기를 ~",B
1390,1560,작용하다,01,동,동사,動詞,作用-,C
1391,1561,확실하다,,형,형용사,形容詞,確實-,B
1392,1562,개선,01,명,명사,名詞,改善,C
1393,1563,그릇,01,명,명사,名詞,,A
1394,1564,글자,,명,명사,名詞,-字,B
1395,1565,바람직하다,,형,형용사,形容詞,,C
1396,1566,연구하다,02,동,동사,動詞,硏究-,B
1397,1567,착하다,,형,형용사,形容詞,,B
1398,1571,라디오,,명,명사,名詞,radio,A
1399,1572,마련,,"의, 명","의존 명사, 명사","依存名詞, 名詞",,C
1400,1574,부동산,,명,명사,名詞,不動産,B
1401,1575,신화,04,명,명사,名詞,神話,C
1402,1578,직업,,명,명사,名詞,職業,B
1403,1579,거두다,,동,동사,動詞,,C
1404,1581,방학,,명,명사,名詞,放學,A
1405,1582,범위,,명,명사,名詞,範圍,C
1406,1583,조상,07,명,명사,名詞,祖上,B
1407,1584,철학,,명,명사,名詞,哲學,C
1408,1585,검다,02,형,형용사,形容詞,색깔이 ~,B
1409,1586,곁,01,명,명사,名詞,,B
1410,1587,근본적,,명,명사,名詞,根本的,C
1411,1588,너희,,대,대명사,代名詞,,B
1412,1589,대형,04,명,명사,名詞,大型,C
1413,1590,따다,01,동,동사,動詞,떼다,B
1414,1591,문제점,,명,명사,名詞,問題點,B
1415,1592,본격적,,명,명사,名詞,本格的,C
1416,1593,불가능하다,,형,형용사,形容詞,不可能-,B
1417,1594,인제,01,"부, 명","부사, 명사","副詞, 名詞",,B
1418,1595,충격,02,명,명사,名詞,衝擊,B
1419,1596,퍼지다,,동,동사,動詞,,C
1420,1597,금방,01,부,부사,副詞,今方,B
1421,1598,남쪽,,명,명사,名詞,南-,A
1422,1599,누르다,01,동,동사,動詞,힘을 가하다,B
1423,1600,미술,,명,명사,名詞,美術,B
1424,1601,백성,,명,명사,名詞,百姓,C
1425,1602,상당히,,부,부사,副詞,相當-,C
1426,1603,색깔,,명,명사,名詞,色-,A
1427,1604,요리,05,명,명사,名詞,料理,A
1428,1605,유명하다,01,형,형용사,形容詞,有名-,A
1429,1606,자네,01,대,대명사,代名詞,,C
1430,1607,기,"13, 23",명,명사,名詞,"氣, 旗",C
1431,1608,꽤,01,부,부사,副詞,,B
1432,1611,외국인,,명,명사,名詞,外國人,A
1433,1612,한참,,명,명사,名詞,,B
1434,1613,군사,"01, 04",명,명사,名詞,"軍士, 軍事",C
1435,1614,끊다,,동,동사,動詞,,B
1436,1615,넘어가다,01,동,동사,動詞,,B
1437,1616,담기다,01,동,동사,動詞,담다,B
1438,1617,마당,,"명, 의","명사, 의존 명사","名詞, 依存名詞",,C
1439,1619,부인,"01, 04",명,명사,名詞,"夫人, 婦人",A
1440,1620,서두르다,,동,동사,動詞,,B
1441,1621,지적,"01, 05",명,명사,名詞,"知的, 指摘",C
1442,1622,짝,01,명,명사,名詞,~이 맞다,C
1443,1623,참으로,,부,부사,副詞,,C
1444,1624,충분하다,01,형,형용사,形容詞,充分-,B
1445,1625,기쁘다,,형,형용사,形容詞,,B
1446,1626,뛰다,"01, 02",동,동사,動詞,"심장이 ~, 빨리 나아가다",A
1447,1627,숙제,03,명,명사,名詞,宿題,A
1448,1628,앞두다,,동,동사,動詞,,C
1449,1629,예산,02,명,명사,名詞,豫算,C
1450,1630,온갖,,관,관형사,冠形詞,,C
1451,1631,우려,01,명,명사,名詞,憂慮,C
1452,1632,우산,01,명,명사,名詞,雨傘,A
1453,1633,기쁨,,명,명사,名詞,,B
1454,1634,깊이,"01, 02","명, 부","명사, 부사","名詞, 副詞",,B
1455,1635,꾸미다,,동,동사,動詞,,B
1456,1636,늘리다,,동,동사,動詞,,B
1457,1637,무릎,,명,명사,名詞,,B
1458,1638,발견되다,,동,동사,動詞,發見-,B
1459,1639,보호하다,,동,동사,動詞,保護-,C
1460,1641,시스템,,명,명사,名詞,system,C
1461,1642,이용,01,명,명사,名詞,利用,B
1462,1643,지난달,,명,명사,名詞,,A
1463,1644,지르다,03,동,동사,動詞,소리를 ~,B
1464,1645,참여,,명,명사,名詞,參與,C
1465,1647,걸음,,명,명사,名詞,,B
1466,1648,겨우,,부,부사,副詞,,B
1467,1649,마르다,01,동,동사,動詞,,B
1468,1650,비교적,,부,부사,副詞,比較的,B
1469,1651,애쓰다,,동,동사,動詞,,C
1470,1652,올바르다,,형,형용사,形容詞,,C
1471,1653,책상,01,명,명사,名詞,冊床,A
1472,1654,춥다,,형,형용사,形容詞,,A
1473,1655,흔하다,,형,형용사,形容詞,,C
1474,1657,높아지다,,동,동사,動詞,,B
1475,1658,늙다,,동,동사,動詞,,B
1476,1659,단위,02,명,명사,名詞,單位,C
1477,1660,둘째,,"수, 관","수사, 관형사","数詞, 冠形詞",,A
1478,1661,뛰어나다,,형,형용사,形容詞,,C
1479,1662,무겁다,,형,형용사,形容詞,,A
1480,1664,상상,07,명,명사,名詞,想像,B
1481,1665,소득,,명,명사,名詞,所得,C
1482,1666,수도,09,명,명사,名詞,首都,C
1483,1667,역,"06, 14",명,명사,名詞,"役, 驛",A
1484,1668,인식하다,,동,동사,動詞,認識-,C
1485,1670,침대,02,명,명사,名詞,寢臺,A
1486,1672,권,01,의,의존 명사,依存名詞,卷,A
1487,1674,맺다,,동,동사,動詞,,C
1488,1675,수요,06,명,명사,名詞,需要,C
1489,1676,스타,,명,명사,名詞,star,B
1490,1677,시계,01,명,명사,名詞,時計,A
1491,1679,입술,,명,명사,名詞,,B
1492,1680,잎,01,명,명사,名詞,,A
1493,1681,중간,01,명,명사,名詞,中間,B
1494,1682,지도자,,명,명사,名詞,指導者,C
1495,1683,천천히,,부,부사,副詞,,A
1496,1684,구성하다,,동,동사,動詞,構成-,C
1497,1685,대체로,,부,부사,副詞,大體-,C
1498,1686,때리다,01,동,동사,動詞,,C
1499,1687,몹시,,부,부사,副詞,,B
1500,1688,문득,01,부,부사,副詞,,C
1501,1689,스포츠,,명,명사,名詞,sports,A
1502,1690,위원장,,명,명사,名詞,委員長,C
1503,1692,저기,"01, 02","대, 감","대명사, 감탄사","代名詞, 感嘆詞",,A
1504,1693,특별하다,,형,형용사,形容詞,特別-,B
1505,1694,효과적,,명,명사,名詞,效果的,C
1506,1695,가까이,,"부, 명","부사, 명사","副詞, 名詞",,B
1507,1696,낫다,"01, 02","동, 형","동사, 형용사","動詞, 形容詞","병이 ~, 더 좋다",B
1508,1697,넘어서다,,동,동사,動詞,,B
1509,1698,볶다,,동,동사,動詞,,B
1510,1699,생산하다,,동,동사,動詞,生産-,C
1511,1700,언젠가,,부,부사,副詞,,B
1512,1701,예술가,,명,명사,名詞,藝術家,B
1513,1702,의도,02,명,명사,名詞,意圖,C
1514,1703,저지르다,,동,동사,動詞,,C
1515,1704,줄어들다,,동,동사,動詞,,C
1516,1706,가만히,,부,부사,副詞,,B
1517,1707,건,04,의,의존 명사,依存名詞,件,C
1518,1708,교회,02,명,명사,名詞,敎會,A
1519,1709,대개,03,"부, 명","부사, 명사","副詞, 名詞",大槪,C
